certification ,genre ,appellation ,mention ,lieu,couleur,cepage,libelle complet
AOC,Tranquille,AOC Alsace Grands Crus,,Goldert,Blanc,Gewurztraminer,AOC Alsace Grands Crus Goldert Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Hatschbourg,Blanc,Riesling,AOC Alsace Grands Crus Hatschbourg Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Hatschbourg,Blanc,Pinot Gris,AOC Alsace Grands Crus Hatschbourg Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Hatschbourg,Blanc,Muscat,AOC Alsace Grands Crus Hatschbourg Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Hatschbourg,Blanc,Gewurztraminer,AOC Alsace Grands Crus Hatschbourg Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Hengst,Blanc,Riesling,AOC Alsace Grands Crus Hengst Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Hengst,Blanc,Pinot Gris,AOC Alsace Grands Crus Hengst Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Hengst,Blanc,Muscat,AOC Alsace Grands Crus Hengst Muscat
AOC,Tranquille,AOC Alsace Grands Crus,,Hengst,Blanc,Gewurztraminer,AOC Alsace Grands Crus Hengst Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Kaefferkopf,Blanc,Assemblage,AOC Alsace Grands Crus Kaefferkopf Assemblage
AOC,Tranquille,AOC Alsace Grands Crus,,Kaefferkopf,Blanc,Riesling,AOC Alsace Grands Crus Kaefferkopf Riesling
AOC,Tranquille,AOC Alsace Grands Crus,,Kaefferkopf,Blanc,Pinot Gris,AOC Alsace Grands Crus Kaefferkopf Pinot Gris
AOC,Tranquille,AOC Alsace Grands Crus,,Kaefferkopf,Blanc,Gewurztraminer,AOC Alsace Grands Crus Kaefferkopf Gewurztraminer
AOC,Tranquille,AOC Alsace Grands Crus,,Kanzlerberg,Blanc,Riesling,AOC Alsace Grands Crus Kanzlerberg Riesling
